City,Hotel Name,Country,Max Temp,Current Description,Lat,Lng
Sambava,Melrose,MG,72.07,few clouds,-14.2667,50.1667
Airai,,TL,62.49,overcast clouds,-8.9266,125.4092
Jalu,صاحبة الفخامة,LY,72.91,few clouds,29.0331,21.5482
Lagoa,Casa Das Faias,PT,61.0,light rain,39.05,-27.9833
Shwebo,MOON SHINE Guest House,MM,76.28,few clouds,22.5667,95.7
Sorong,Waigo Splash Hotel,ID,80.24,broken clouds,-0.8833,131.25
Pringsewu,Urban Style by Front One,ID,74.39,light rain,-5.3582,104.9744
Indiaroba,Pura Vida Bahia,BR,82.22,clear sky,-11.5192,-37.5117
Torbay,Gallows Cove,CA,61.39,mist,47.6666,-52.7314
Kampot,Two Moons Hotel,KH,77.05,overcast clouds,10.6167,104.1833
Xanten,Hövelmann's Restaurant & Hotel,DE,63.21,overcast clouds,51.6667,6.45
Mackay,International Lodge Motel,AU,75.69,scattered clouds,-21.15,149.2
Carauari,Hotel Fellip,BR,83.28,overcast clouds,-4.8828,-66.8958
Bad Windsheim,Flair Hotel zum Storchen,DE,64.35,overcast clouds,49.5,10.4167
Benghazi,Tibesti Hotel,LY,71.55,few clouds,32.1167,20.0667
Comodoro Rivadavia,Austral Hotel,AR,78.66,clear sky,-45.8667,-67.5
Maralal,Ngari Hill Ecolodge,KE,66.11,broken clouds,1.0968,36.698
Knysna,Protea by Marriott Hotel Knysna Quays,ZA,63.37,scattered clouds,-34.0363,23.0471
Lata,Casa Maquia,PT,72.91,scattered clouds,40.1629,-8.3327
Takoradi,Raybow International Hotel,GH,79.14,broken clouds,4.8845,-1.7554
Languyan,,PH,78.51,light rain,5.2618,120.0807
Gemena,Hôtel Goshen,CD,71.98,overcast clouds,3.25,19.7667
Monster,Roompot Kijkduin,NL,61.02,few clouds,52.0258,4.175
Taltal,Residencial Karime,CL,65.32,clear sky,-25.4,-70.4833
Tam Ky,Nhà Nghỉ Phương Hòa,VN,70.39,overcast clouds,15.5667,108.4833
Popondetta,Timos Transit House,PG,72.79,overcast clouds,-8.7537,148.2534
Aizawl,Riak Maw Inn,IN,61.5,scattered clouds,23.7333,92.7167
Hambantota,Bungalow 63,LK,77.34,overcast clouds,6.1241,81.1185
Grand Gaube,Veranda Paul et Virginie Hotel & Spa,MU,72.0,clear sky,-20.0064,57.6608
Bacungan,Sumayang Property,PH,78.85,overcast clouds,9.9106,118.7022
La Roche-Sur-Yon,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)",FR,62.87,overcast clouds,46.6667,-1.4333
Bima,Lambitu Hotel,ID,78.46,moderate rain,-8.4667,118.7167
Annau,"Гостиница ""Уссат инженер""",TM,67.5,scattered clouds,37.8876,58.516
