City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Cidreira,BR,-30.1811,-50.2056,65.5,90,27,7.67,scattered clouds
226,Myaundzha,RU,63.0494,147.1858,-9.44,97,78,3.13,broken clouds
227,Husavik,IS,66.0449,-17.3389,34.52,77,100,10.02,overcast clouds
228,Shache,CN,38.4167,77.2406,52.72,37,100,16.6,overcast clouds
229,Port Alfred,ZA,-33.5906,26.891,73.15,86,51,11.77,broken clouds
230,Ancud,CL,-41.8697,-73.8203,61.23,84,97,10.27,overcast clouds
231,Vila,PT,42.0304,-8.1588,50.88,92,28,6.64,scattered clouds
232,Suaza,CO,1.9761,-75.7945,78.13,72,100,3.47,overcast clouds
233,Praia,CV,14.9215,-23.5087,79.34,78,20,10.36,few clouds
234,Hervey Bay,AU,-25.2986,152.8535,68.02,94,100,10.0,overcast clouds
235,Toora-Khem,RU,52.4675,96.11,23.61,96,84,1.54,broken clouds
236,Lakselv,NO,70.0513,24.9718,35.42,64,75,29.93,broken clouds
237,Hanna,CA,51.6334,-111.9018,71.85,20,79,7.0,broken clouds
238,Drama,GR,41.1544,24.1394,60.67,35,0,4.72,clear sky
239,Farafangana,MG,-22.8167,47.8333,70.48,88,64,8.41,light rain
240,Port Blair,IN,11.6667,92.75,80.04,79,92,9.08,overcast clouds
241,Karoi,ZW,-16.8099,29.6925,69.04,43,8,4.27,clear sky
242,Port Elizabeth,ZA,-33.918,25.5701,77.09,81,20,4.61,few clouds
243,Balkanabat,TM,39.5108,54.3671,62.94,39,0,9.24,clear sky
244,Pangoa,PE,-12.1167,-73.0,81.79,59,82,3.06,broken clouds
245,Ibra,OM,22.6906,58.5334,72.9,38,99,2.66,overcast clouds
246,Padang,ID,-0.9492,100.3543,71.65,86,100,2.95,overcast clouds
247,Hargeysa,SO,9.56,44.065,69.6,58,11,1.95,few clouds
248,Verkhneyarkeyevo,RU,55.4505,54.3145,41.56,90,100,2.44,overcast clouds
249,Hirado,JP,33.3597,129.5531,63.23,60,0,15.73,clear sky
250,Prince Rupert,CA,54.3161,-130.3201,55.49,85,100,13.8,overcast clouds
251,Zabid,YE,14.1951,43.3152,85.77,53,0,3.0,clear sky
252,Kushima,JP,31.4583,131.2333,57.47,75,0,8.84,clear sky
253,Avarua,CK,-21.2078,-159.775,80.65,65,40,18.41,scattered clouds
254,Tahoua,NE,14.8888,5.2692,87.78,27,0,2.3,clear sky
255,Fallon,US,39.4735,-118.7774,75.45,13,40,0.0,scattered clouds
256,Tevriz,RU,57.509,72.4042,39.94,91,100,5.3,overcast clouds
257,Mulhouse,FR,47.6667,7.4167,61.34,96,0,4.61,clear sky
258,Singkang,MY,2.1006,102.7994,75.07,90,99,1.88,overcast clouds
259,Maldonado,UY,-34.6667,-54.9167,70.99,76,85,10.85,overcast clouds
260,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,84,75,4.0,broken clouds
261,Great Yarmouth,GB,52.6083,1.7305,57.45,75,76,22.64,broken clouds
262,Cervo,ES,43.6702,-7.4101,60.96,70,63,9.57,broken clouds
263,Nishihara,JP,26.1842,127.7558,73.06,73,100,21.85,overcast clouds
264,Tucurui,BR,-3.7661,-49.6725,88.97,45,60,3.15,broken clouds
265,Sola,VU,-13.8833,167.55,79.47,89,73,0.0,broken clouds
266,Flinders,AU,-34.5833,150.8552,64.06,91,100,4.0,overcast clouds
267,Zhigansk,RU,66.7697,123.3711,12.63,94,100,6.96,overcast clouds
268,Churapcha,RU,62.0025,132.4325,19.45,97,100,3.6,light snow
269,Bandarbeyla,SO,9.4942,50.8122,78.48,85,90,10.51,overcast clouds
270,Faya,SA,18.3851,42.4509,59.52,46,0,5.21,clear sky
271,Kommunisticheskiy,RU,61.6789,64.4819,33.64,93,53,5.75,broken clouds
272,San Andres,CO,12.5847,-81.7006,89.62,62,20,8.05,few clouds
273,Port Hardy,CA,50.6996,-127.4199,55.58,94,100,2.3,light intensity shower rain
274,Barsovo,RU,61.1667,73.1667,39.33,88,100,11.01,overcast clouds
275,Asyut,EG,27.181,31.1837,71.78,40,0,7.05,clear sky
276,Ponta Do Sol,PT,32.6667,-17.1,74.03,77,100,10.29,overcast clouds
277,Shelburne,CA,44.0787,-80.2041,40.77,96,100,11.92,light rain
278,Berlevag,NO,70.8578,29.0864,35.6,80,75,32.21,broken clouds
279,Port Lincoln,AU,-34.7333,135.8667,57.2,89,38,10.49,scattered clouds
280,Dingle,PH,10.9995,122.6711,76.26,89,100,2.39,moderate rain
281,Bafq,IR,31.6128,55.4107,66.49,35,0,2.62,clear sky
282,Tigil,RU,57.8,158.6667,23.18,93,98,9.82,overcast clouds
283,Clifton,US,40.8584,-74.1638,55.47,50,100,16.11,overcast clouds
284,Xiongyue,CN,40.1774,122.1228,51.76,70,17,11.86,few clouds
285,Marsh Harbour,BS,26.5412,-77.0636,77.72,79,100,17.27,overcast clouds
286,Apple Valley,US,34.5008,-117.1859,84.9,25,0,17.38,clear sky
287,Goderich,CA,43.7501,-81.7165,42.91,87,100,19.57,light rain
288,Jibuti,DJ,11.5,42.5,75.61,59,0,9.91,clear sky
289,Rossland,CA,49.0831,-117.8022,62.91,20,55,3.56,broken clouds
290,Cururupu,BR,-1.8283,-44.8683,79.16,78,69,5.86,broken clouds
291,Koungou,YT,-12.7336,45.2042,73.11,88,0,4.61,clear sky
292,Bud,US,39.447,-86.1758,53.62,37,1,15.77,clear sky
293,Santa Cruz,BO,-17.8,-63.1667,87.26,58,40,16.11,scattered clouds
294,Xuddur,SO,4.1213,43.8894,73.02,79,42,12.17,scattered clouds
295,Kruisfontein,ZA,-34.0033,24.7314,74.88,54,98,10.45,overcast clouds
296,Baiyin,CN,36.5583,104.2081,51.84,70,100,3.24,overcast clouds
297,Namibe,AO,-15.1961,12.1522,64.08,87,17,8.1,few clouds
298,Honiara,SB,-9.4333,159.95,83.19,74,45,1.52,scattered clouds
299,Souillac,MU,-20.5167,57.5167,70.18,64,20,4.61,few clouds
300,Namatanai,PG,-3.6667,152.4333,81.75,69,100,5.55,overcast clouds
301,Tabou,CI,4.423,-7.3528,76.73,87,86,7.02,light rain
302,Koumac,NC,-20.5667,164.2833,76.32,68,20,4.16,few clouds
303,Vaitape,PF,-16.5167,-151.75,78.03,77,5,7.31,clear sky
304,Tarabuco,BO,-19.1667,-64.9167,63.77,40,4,13.91,clear sky
305,Ostrovnoy,RU,68.0531,39.5131,38.28,79,88,35.68,light rain
306,San Carlos De Bariloche,AR,-41.1456,-71.3082,63.01,28,40,27.63,scattered clouds
307,Galle,LK,6.0367,80.217,77.31,90,100,11.16,overcast clouds
308,Bengkulu,ID,-3.8004,102.2655,74.21,92,100,1.52,overcast clouds
309,Okhotsk,RU,59.3833,143.3,20.41,56,0,17.49,clear sky
310,Oravita,RO,45.0325,21.6894,50.56,63,0,3.13,clear sky
311,Aklavik,CA,68.2191,-135.0107,26.6,93,100,8.05,overcast clouds
312,Provideniya,RU,64.3833,-173.3,35.87,98,100,28.21,moderate rain
313,Kibala,TD,9.1104,18.3463,75.15,94,0,1.14,clear sky
314,Sao Filipe,CV,14.8961,-24.4956,79.66,80,33,4.61,scattered clouds
315,Gat,IL,31.61,34.7642,71.4,69,80,2.62,broken clouds
316,Katsuura,JP,35.1333,140.3,57.29,65,0,13.82,clear sky
317,Sabang,ID,5.8933,95.3214,80.85,78,100,24.76,overcast clouds
318,Amurzet,RU,47.6967,131.0981,36.3,68,2,6.35,clear sky
319,Helong,CN,42.5397,128.9972,40.08,60,1,7.81,clear sky
320,Russell,US,32.3502,-85.1999,63.68,25,0,10.36,clear sky
321,Makakilo City,US,21.3469,-158.0858,82.72,57,75,9.22,broken clouds
322,Areosa,PT,41.7178,-8.8571,60.37,87,0,17.36,clear sky
323,Araouane,ML,18.9048,-3.5265,90.32,15,65,5.21,broken clouds
324,Nazilli,TR,37.9163,28.3223,60.1,74,0,2.33,clear sky
325,Port-Cartier,CA,50.0334,-66.8654,50.22,98,100,21.05,overcast clouds
326,Darnah,LY,32.767,22.6367,68.63,74,19,8.37,few clouds
327,Coquimbo,CL,-29.9533,-71.3436,60.37,70,0,7.58,clear sky
328,Zaraza,VE,9.3503,-65.3245,82.58,74,90,6.76,overcast clouds
329,Durant,US,33.994,-96.3708,67.57,21,0,4.61,clear sky
330,Kahului,US,20.8947,-156.47,84.22,70,20,9.22,few clouds
331,Songjianghe,CN,42.1859,127.479,33.21,73,0,7.27,clear sky
332,Yulara,AU,-25.2406,130.9889,61.57,71,0,3.4,clear sky
333,Farmington,US,36.7281,-108.2187,73.2,34,0,9.22,clear sky
334,Thinadhoo,MV,0.5333,72.9333,81.55,74,100,9.82,overcast clouds
335,Camocim,BR,-2.9022,-40.8411,81.23,70,27,18.52,scattered clouds
336,Carballo,ES,43.213,-8.691,62.76,86,39,10.54,scattered clouds
337,Bairiki,KI,1.3292,172.9752,82.4,83,20,8.05,few clouds
338,North Bend,US,43.4065,-124.2243,65.16,88,75,11.5,mist
339,Vlasikha,RU,53.2972,83.5742,40.05,65,40,8.95,scattered clouds
340,Hay River,CA,60.8156,-115.7999,48.18,87,100,11.5,moderate rain
341,Stromness,GB,58.965,-3.296,46.87,80,93,13.0,overcast clouds
342,Saint George,US,37.1041,-113.5841,82.44,17,0,3.44,clear sky
343,Nicoya,CR,10.1483,-85.452,85.69,67,97,1.97,overcast clouds
344,Taltal,CL,-25.4,-70.4833,64.0,62,23,6.67,few clouds
345,Alacranes,CU,22.7675,-81.5675,79.29,88,100,12.21,overcast clouds
346,Tual,ID,-5.6667,132.75,84.16,71,99,4.59,overcast clouds
